STT	BaiToan	Code_C	"?? BÀI T?P 1
Vi?t ch??ng trình tính th? tích hình chóp c?t ??u có di?n tích ?áy l?n S, di?n tích ?áy nh? s và chi?u cao h. Th? tích hình chóp c?t ??u ???c xác ??nh b?i công th?c:
V=13?h?(S+Ss+s)V = \frac{1}{3} * h * (S + \sqrt{Ss} + s)V=31?h?(S+Ss+s) 
(di?n gi?i công th?c: m?t ph?n ba * chi?u cao h * t?ng di?n tích ?áy l?n, di?n tích ?áy nh? và c?n b?c hai tích di?n tích ?áy l?n và ?áy nh?)
________________________________________
Mô t? d? li?u testcase:
•	Input: G?m T+1 dòng; dòng ??u tiên là s? l??ng testcase T; T dòng ti?p theo, m?i dòng g?m giá tr? th?c S, s và h t??ng ?ng d? li?u c?a m?t testcase.
•	Output: K?t qu? c?a m?i testcase trên m?t hàng, in 02 ch? s? sau d?u ph?y. N?u không tính ???c thì in ra ND.
Minh h?a d? li?u testcase:
Input:
1
2.0 2.0 1.5
Output:
3.00
? Code C:
#include <stdio.h>
#include <math.h>
int main() {
    int T;
    scanf(""%d"", &T);
    while (T--) {
        double S, s, h;
        if (scanf(""%lf %lf %lf"", &S, &s, &h) != 3 || S < 0 || s < 0 || h < 0) {
            printf(""ND\n"");
            continue;
        }
        double V = (1.0 / 3.0) * h * (S + sqrt(S * s) + s);
        printf(""%.2lf\n"", V);
  }
    return 0;
}
________________________________________
?? BÀI T?P 2
Cho m?t ma tr?n các s? nguyên A kích th??c m×n. Ng??i ta th?c hi?n duy?t các hàng và c?t ngoài cùng t? m?t v? trí cho tr??c theo m?t chi?u nh?t ??nh. D?c theo ???ng duy?t, li?t kê t?t c? các s? nguyên t? theo th? t? duy?t.
V? trí ban ??u t?i góc trên bên ph?i (hàng 0, c?t n?1) và duy?t theo chi?u ng??c chi?u kim ??ng h?.
Mô t? d? li?u testcase:
•	Input: Dòng ??u tiên là s? l??ng b? testcase T; T*(m+1) dòng ti?p theo là d? li?u các b? testcase; m?i b? testcase g?m m+1 hàng, trong ?ó hàng ??u tiên là giá tr? m và n, m hàng ti?p theo, m?i hàng g?m n ph?n t? t??ng ?ng v?i hàng c?a ma tr?n.
•	Output: K?t qu? m?i testcase trên m?t hàng.
Minh h?a d? li?u testcase:
Input:
1
3 3
1 2 3
4 5 6
7 8 9
Output:
327
? Code C:
#include <stdio.h>
int main() {
    int T;
    scanf(""%d"", &T);
    while (T--) {
        int m, n;
        scanf(""%d %d"", &m, &n);
        int A[100][100]; 
        for (int i = 0; i < m; ++i)
            for (int j = 0; j < n; ++j)
                scanf(""%d"", &A[i][j]);
        for (int i = 0; i < m; ++i)
            printf(""%d"", A[i][n - 1]);
        for (int j = n - 2; j >= 0; --j)
            printf(""%d"", A[m - 1][j]);
        for (int j = 1; j < n - 1; ++j)
            printf(""%d"", A[0][j]);
        printf(""\n"");
    }
    return 0;
}
?? BÀI T?P 3
Tính di?n tích hình ch? nh?t
Yêu c?u:
1.	Vi?t ch??ng trình tính di?n tích hình ch? nh?t v?i các c?nh a, b.
2.	Ch??ng trình c?n x? lý nhi?u test case.
3.	Input:
o	Dòng ??u tiên là s? M - s? l??ng test case.
o	M dòng ti?p theo, m?i dòng ch?a hai giá tr? a, b.
4.	Output:
o	K?t qu? c?a m?i test case trên m?t dòng. N?u không tính ???c (a ho?c b âm) thì in ""MD"".
5.	Ví d?:
o	Input:
2
1 1
2 3
o	Output:
1.00
6.00
? Code C:
#include <stdio.h>

int main(void) {
    int t;
    scanf(""%d"", &t);
    while (t--) {
        float a, b;
        scanf(""%f %f"", &a, &b);
        if (a < 0 || b < 0) {
            printf(""MD\n"");
        }
        else {
            printf(""%.2f\n"", a * b);
        }
    }
    return 0;
}
"									
144	Tìm các ph?n t? l?n nh?t c?a các hàng trong m?t ma tr?n.	"#include <stdio.h>
#include <limits.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(""Ph?n t? l?n nh?t t?ng hàng:\n"");
    for (int i = 0; i < m; i++) {
        int max = INT_MIN;
        for (int j = 0; j < n; j++) {
            if (matrix[i][j] > max) {
                max = matrix[i][j];
            }
        }
        printf(""Hàng %d: %d\n"", i, max);
    }
    return 0;
}"										
145	Tìm các ph?n t? l?n nh?t c?a các c?t trong m?t ma tr?n.	"#include <stdio.h>
#include <limits.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(""Ph?n t? l?n nh?t t?ng c?t:\n"");
    for (int j = 0; j < n; j++) {
        int max = INT_MIN;
        for (int i = 0; i < m; i++) {
            if (matrix[i][j] > max) {
                max = matrix[i][j];
            }
        }
        printf(""C?t %d: %d\n"", j, max);
    }
    return 0;
}"										
146	Tìm các ph?n t? l?n nh?t c?a ???ng chéo chính trong m?t ma tr?n.	"#include <stdio.h>
#include <limits.h>

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[n][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int max = INT_MIN;
    for (int i = 0; i < n; i++) {
        if (matrix[i][i] > max) {
            max = matrix[i][i];
        }
    }
    printf(""L?n nh?t ???ng chéo chính: %d\n"", max);
    return 0;
}"										
147	Tìm các ph?n t? l?n nh?t c?a ???ng chéo ph? trong m?t ma tr?n.	"#include <stdio.h>
#include <limits.h>

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[n][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int max = INT_MIN;
    for (int i = 0; i < n; i++) {
        if (matrix[i][n - 1 - i] > max) {
            max = matrix[i][n - 1 - i];
        }
    }
    printf(""L?n nh?t ???ng chéo ph?: %d\n"", max);
    return 0;
}"										
148	Tìm các ph?n t? l?n nh?t c?a n?a tam giác trên g?m c? ???ng chéo chính trong m?t ma tr?n vuông.	"#include <stdio.h>
#include <limits.h>

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[n][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int max = INT_MIN;
    for (int i = 0; i < n; i++) {
        for (int j = i; j < n; j++) {
            if (matrix[i][j] > max) {
                max = matrix[i][j];
            }
        }
    }
    printf(""L?n nh?t n?a tam giác trên: %d\n"", max);
    return 0;
}"										
149	Tìm các ph?n t? l?n nh?t c?a n?a tam giác d??i g?m c? ???ng chéo chính trong m?t ma tr?n vuông.	"#include <stdio.h>
#include <limits.h>

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[n][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int max = INT_MIN;
    for (int i = 0; i < n; i++) {
        for (int j = 0; j <= i; j++) {
            if (matrix[i][j] > max) {
                max = matrix[i][j];
            }
        }
    }
    printf(""L?n nh?t n?a tam giác d??i: %d\n"", max);
    return 0;
}"										
150	Tìm các ph?n t? l?n nh?t c?a n?a tam giác trên g?m c? ???ng chéo ph? trong m?t ma tr?n vuông.	"#include <stdio.h>
#include <limits.h>

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[n][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int max = INT_MIN;
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n - i; j++) {
            if (matrix[i][j] > max) {
                max = matrix[i][j];
            }
        }
    }
    printf(""L?n nh?t n?a tam giác trên (bao g?m ???ng chéo ph?): %d\n"", max);
    return 0;
}"										
151	Tìm các ph?n t? l?n nh?t c?a n?a tam giác d??i g?m c? ???ng chéo ph? trong m?t ma tr?n vuông.	"#include <stdio.h>
#include <limits.h>

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[n][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int max = INT_MIN;
    for (int i = 0; i < n; i++) {
        for (int j = n - 1 - i; j < n; j++) {
            if (matrix[i][j] > max) {
                max = matrix[i][j];
            }
        }
    }
    printf(""L?n nh?t n?a tam giác d??i (bao g?m ???ng chéo ph?): %d\n"", max);
    return 0;
}"										
152	??m s? l??ng ph?n t? ch?n và l? trong ma tr?n.	"#include <stdio.h>

int main() {
    int m, n, even = 0, odd = 0;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
            if (matrix[i][j] % 2 == 0) {
                even++;
            } else {
                odd++;
            }
        }
    }
    printf(""S? ch?n: %d\nS? l?: %d\n"", even, odd);
    return 0;
}"										
153	??m s? l??ng ph?n t? ch?n và l? trong các hàng c?a ma tr?n.	"#include <stdio.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    for (int i = 0; i < m; i++) {
        int even = 0, odd = 0;
        for (int j = 0; j < n; j++) {
            if (matrix[i][j] % 2 == 0) {
                even++;
            } else {
                odd++;
            }
        }
        printf(""Hàng %d: S? ch?n: %d, S? l?: %d\n"", i, even, odd);
    }
    return 0;
}"										
154	??m s? l??ng ph?n t? ch?n và l? trong các c?t c?a ma tr?n.	"#include <stdio.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    for (int j = 0; j < n; j++) {
        int even = 0, odd = 0;
        for (int i = 0; i < m; i++) {
            if (matrix[i][j] % 2 == 0) {
                even++;
            } else {
                odd++;
            }
        }
        printf(""C?t %d: S? ch?n: %d, S? l?: %d\n"", j, even, odd);
    }
    return 0;
}"										
155	??m s? l??ng ph?n t? là s? nguyên t? trong ma tr?n.	"#include <stdio.h>

int isPrime(int num) {
    if (num <= 1) return 0;
    for (int i = 2; i * i <= num; i++) {
        if (num % i == 0) return 0;
    }
    return 1;
}

int main() {
    int m, n, count = 0;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
            if (isPrime(matrix[i][j])) {
                count++;
            }
        }
    }
    printf(""S? l??ng s? nguyên t?: %d\n"", count);
    return 0;
}"										
156	??m s? l??ng ph?n t? là s? nguyên t? trong các hàng c?a ma tr?n.	"#include <stdio.h>

int isPrime(int num) {
    if (num <= 1) return 0;
    for (int i = 2; i * i <= num; i++) {
        if (num % i == 0) return 0;
    }
    return 1;
}

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    for (int i = 0; i < m; i++) {
        int count = 0;
        for (int j = 0; j < n; j++) {
            if (isPrime(matrix[i][j])) {
                count++;
            }
        }
        printf(""Hàng %d: S? nguyên t?: %d\n"", i, count);
    }
    return 0;
}"										
157	??m s? l??ng ph?n t? là s? nguyên t? trong các c?t c?a ma tr?n.	"#include <stdio.h>

int isPrime(int num) {
    if (num <= 1) return 0;
    for (int i = 2; i * i <= num; i++) {
        if (num % i == 0) return 0;
    }
    return 1;
}

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    for (int j = 0; j < n; j++) {
        int count = 0;
        for (int i = 0; i < m; i++) {
            if (isPrime(matrix[i][j])) {
                count++;
            }
        }
        printf(""C?t %d: S? nguyên t?: %d\n"", j, count);
    }
    return 0;
}"										
158	Ki?m tra xem ma tr?n có ph?i là ma tr?n vuông không.	"#include <stdio.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    printf(m == n ? ""Ma tr?n vuông.\n"" : ""Không ph?i ma tr?n vuông.\n"");
    return 0;
}"										
159	Ki?m tra xem ma tr?n có ph?i là ma tr?n tam giác trên hay không.	"#include <stdio.h>

int isUpperTriangular(int matrix[][100], int n) {
    for (int i = 1; i < n; i++) {
        for (int j = 0; j < i; j++) {
            if (matrix[i][j] != 0) {
                return 0;
            }
        }
    }
    return 1;
}

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(isUpperTriangular(matrix, n) ? ""Ma tr?n tam giác trên.\n"" : ""Không ph?i ma tr?n tam giác trên.\n"");
    return 0;
}"										
160	Ki?m tra xem ma tr?n có ph?i là ma tr?n ??i x?ng không.	"#include <stdio.h>

int isSymmetric(int matrix[][100], int n) {
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < i; j++) {
            if (matrix[i][j] != matrix[j][i]) {
                return 0;
            }
        }
    }
    return 1;
}

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(isSymmetric(matrix, n) ? ""Ma tr?n ??i x?ng.\n"" : ""Không ph?i ma tr?n ??i x?ng.\n"");
    return 0;
}"										
161	Ki?m tra xem ma tr?n có ph?i là ma tr?n ??n v? không.	"#include <stdio.h>

int isIdentity(int matrix[][100], int n) {
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            if (i == j && matrix[i][j] != 1) {
                return 0;
            }
            if (i != j && matrix[i][j] != 0) {
                return 0;
            }
        }
    }
    return 1;
}

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(isIdentity(matrix, n) ? ""Ma tr?n ??n v?.\n"" : ""Không ph?i ma tr?n ??n v?.\n"");
    return 0;
}"										
162	Ki?m tra xem ma tr?n có ph?i là ma tr?n ???c c?u thành b?i m?t ma tr?n ??n v? vi?t li?n k? tr??c v?i m?t ma tr?n P không.	"#include <stdio.h>

int isIdentityWithP(int matrix[][100], int n, int p) {
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            if (i == j && matrix[i][j] != 1) {
                return 0;
            }
            if (i != j && matrix[i][j] != p) {
                return 0;
            }
        }
    }
    return 1;
}

int main() {
    int n, p;
    printf(""Nh?p kích th??c ma tr?n vuông và giá tr? P: "");
    scanf(""%d %d"", &n, &p);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(isIdentityWithP(matrix, n, p) ? ""Ma tr?n th?a mãn ?i?u ki?n.\n"" : ""Ma tr?n không th?a mãn ?i?u ki?n.\n"");
    return 0;
}"										
163	Ki?m tra xem ma tr?n có ph?i là ma tr?n ???c c?u thành b?i m?t ma tr?n ??n v? vi?t li?n k? sau c?a m?t ma tr?n P không.	"#include <stdio.h>

int isPWithIdentity(int matrix[][100], int n, int p) {
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            if (i == j && matrix[i][j] != p) {
                return 0;
            }
            if (i != j && matrix[i][j] != 0) {
                return 0;
            }
        }
    }
    return 1;
}

int main() {
    int n, p;
    printf(""Nh?p kích th??c ma tr?n vuông và giá tr? P: "");
    scanf(""%d %d"", &n, &p);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(isPWithIdentity(matrix, n, p) ? ""Ma tr?n th?a mãn ?i?u ki?n.\n"" : ""Ma tr?n không th?a mãn ?i?u ki?n.\n"");
    return 0;
}"										
164	Ki?m tra xem ma tr?n có ph?i là ma tr?n ch? g?m các ph?n t? nh? phân (0 ho?c 1) không?	"#include <stdio.h>

int isBinaryMatrix(int matrix[][100], int m, int n) {
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            if (matrix[i][j] != 0 && matrix[i][j] != 1) {
                return 0;
            }
        }
    }
    return 1;
}

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(isBinaryMatrix(matrix, m, n) ? ""Ma tr?n nh? phân.\n"" : ""Không ph?i ma tr?n nh? phân.\n"");
    return 0;
}"										
165	S?p x?p t?ng dòng c?a ma tr?n theo th? t? t?ng d?n.	"#include <stdio.h>

void sortRow(int row[], int n) {
    for (int i = 0; i < n - 1; i++) {
        for (int j = 0; j < n - i - 1; j++) {
            if (row[j] > row[j + 1]) {
                int temp = row[j];
                row[j] = row[j + 1];
                row[j + 1] = temp;
            }
        }
    }
}

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    for (int i = 0; i < m; i++) {
        sortRow(matrix[i], n);
    }
    printf(""Ma tr?n sau s?p x?p:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            printf(""%d "", matrix[i][j]);
        }
        printf(""\n"");
    }
    return 0;
}"										
166	S?p x?p t?ng c?t c?a ma tr?n theo th? t? t?ng d?n.	"#include <stdio.h>

void sortColumn(int matrix[][100], int m, int col) {
    for (int i = 0; i < m - 1; i++) {
        for (int j = 0; j < m - i - 1; j++) {
            if (matrix[j][col] > matrix[j + 1][col]) {
                int temp = matrix[j][col];
                matrix[j][col] = matrix[j + 1][col];
                matrix[j + 1][col] = temp;
            }
        }
    }
}

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    for (int j = 0; j < n; j++) {
        sortColumn(matrix, m, j);
    }
    printf(""Ma tr?n sau s?p x?p:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            printf(""%d "", matrix[i][j]);
        }
        printf(""\n"");
    }
    return 0;
}"										
167	Tính t?ng t?ng dòng và in k?t qu?.	"#include <stdio.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    for (int i = 0; i < m; i++) {
        int sum = 0;
        for (int j = 0; j < n; j++) {
            sum += matrix[i][j];
        }
        printf(""T?ng dòng %d: %d\n"", i, sum);
    }
    return 0;
}"										
168	Tính t?ng t?ng c?t và in k?t qu?.	"#include <stdio.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    for (int j = 0; j < n; j++) {
        int sum = 0;
        for (int i = 0; i < m; i++) {
            sum += matrix[i][j];
        }
        printf(""T?ng c?t %d: %d\n"", j, sum);
    }
    return 0;
}"										
169	Tìm dòng có t?ng l?n nh?t trong ma tr?n.	"#include <stdio.h>
#include <limits.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int maxSum = INT_MIN, maxRow = 0;
    for (int i = 0; i < m; i++) {
        int sum = 0;
        for (int j = 0; j < n; j++) {
            sum += matrix[i][j];
        }
        if (sum > maxSum) {
            maxSum = sum;
            maxRow = i;
        }
    }
    printf(""Dòng có t?ng l?n nh?t: %d (T?ng: %d)\n"", maxRow, maxSum);
    return 0;
}"										
170	Tìm ph?n t? l?n nh?t trên t?ng dòng.	"#include <stdio.h>
#include <limits.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    for (int i = 0; i < m; i++) {
        int max = INT_MIN;
        for (int j = 0; j < n; j++) {
            if (matrix[i][j] > max) {
                max = matrix[i][j];
            }
        }
        printf(""Dòng %d: L?n nh?t: %d\n"", i, max);
    }
    return 0;
}"										
171	Tìm ph?n t? nh? nh?t ? m?i c?t.	"#include <stdio.h>
#include <limits.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    for (int j = 0; j < n; j++) {
        int min = INT_MAX;
        for (int i = 0; i < m; i++) {
            if (matrix[i][j] < min) {
                min = matrix[i][j];
            }
        }
        printf(""C?t %d: Nh? nh?t: %d\n"", j, min);
    }
    return 0;
}"										
172	Tìm ph?n t? xu?t hi?n nhi?u nh?t trong ma tr?n.	"#include <stdio.h>
#include <limits.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int maxCount = 0, maxElement = matrix[0][0];
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            int count = 0;
            for (int k = 0; k < m; k++) {
                for (int l = 0; l < n; l++) {
                    if (matrix[k][l] == matrix[i][j]) {
                        count++;
                    }
                }
            }
            if (count > maxCount) {
                maxCount = count;
                maxElement = matrix[i][j];
            }
        }
    }
    printf(""Ph?n t? xu?t hi?n nhi?u nh?t: %d (S? l?n: %d)\n"", maxElement, maxCount);
    return 0;
}"										
173	Xoay ma tr?n vuông 90 ?? theo chi?u kim ??ng h?.	"#include <stdio.h>

void rotate90Clockwise(int matrix[][100], int n) {
    for (int i = 0; i < n / 2; i++) {
        for (int j = i; j < n - i - 1; j++) {
            int temp = matrix[i][j];
            matrix[i][j] = matrix[n - 1 - j][i];
            matrix[n - 1 - j][i] = matrix[n - 1 - i][n - 1 - j];
            matrix[n - 1 - i][n - 1 - j] = matrix[j][n - 1 - i];
            matrix[j][n - 1 - i] = temp;
        }
    }
}

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    rotate90Clockwise(matrix, n);
    printf(""Ma tr?n sau xoay 90 ?? theo chi?u kim ??ng h?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            printf(""%d "", matrix[i][j]);
        }
        printf(""\n"");
    }
    return 0;
}"										
174	Xoay ma tr?n vuông 90 ?? theo chi?u ng??c chi?u kim ??ng h?.	"#include <stdio.h>

void rotate90AntiClockwise(int matrix[][100], int n) {
    for (int i = 0; i < n / 2; i++) {
        for (int j = i; j < n - i - 1; j++) {
            int temp = matrix[i][j];
            matrix[i][j] = matrix[j][n - 1 - i];
            matrix[j][n - 1 - i] = matrix[n - 1 - i][n - 1 - j];
            matrix[n - 1 - i][n - 1 - j] = matrix[n - 1 - j][i];
            matrix[n - 1 - j][i] = temp;
        }
    }
}

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[100][100];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    rotate90AntiClockwise(matrix, n);
    printf(""Ma tr?n sau xoay 90 ?? ng??c chi?u kim ??ng h?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            printf(""%d "", matrix[i][j]);
        }
        printf(""\n"");
    }
    return 0;
}"										
